"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"747","After the deposition of Mubarak, foreign aid, which the country greatly relied upon, was suspended in Egypt. Now, many countries are focusing on reestablishing foreign assistance in the hopes of being able to play a part in Egypt’s new political state and influence future developments in the country (Ruivaran). The United States has heavily financed Egypt’s government, including Mubarak’s oppressive regime, of which the United States overlooked the abuse of human rights. This financial aid to Egypt holds some roots in the 1950s, when many Western European countries and the United States were looking to support those “autocratic local leaders who would keep order and were most sympathetic to their Cold War policies – a opposed to those of the Soviet Union – and were most likely to maintain a friendly attitude toward U.S. and European business interests” (Pulsipher and Pulsipher 265). The new government and its new policies will complicate the U.S. involvement and interests in the region. In the future, the U.S. will have to take into account their previous act of turning a blind eye to the misrepresentation of human rights and promote a full democratic government in the country. The Muslim Brotherhood, currently in control of much of the government, is traditionally an anti-Israeli group, which brings the possibility of tensions between Israel, a U.S. ally, and Egypt, two countries which currently share a Peace Treaty since 1979. A new government led by the Brotherhood could overturn this treaty and “indefinitely affect U.S. military, trade, and diplomatic policies” (Travers). Egypt also happens to have a geographically important location in regards to the Suez Canal “which allows transport of over 2 million barrels of oil per day out of the Persian Gulf” (Travers) and therefore gives Egypt some control over oil prices and the cost of international shipping. The region itself is known for its oil exports, prices of which are mostly controlled by OPEC, the Organization of Petroleum Exporting Countries, which also include countries in Latin America and the Far East (Pulsipher and Pulsipher 278). However, in the event that transportation costs for shipping oil rise, the cost of oil will also increase, impacting consumers all over the globe, especially Americans who, as a nation, consumer more oil than any other country worldwide. Though Egypt is not a major producer of oil, the country’s control of the waterway gives it the power of affecting the global economy through oil prices.","after the deposition of mubarak foreign aid which the country greatly relied upon was suspended in egypt now many countries are",22,"focusing","are","31B","countries","32C","the","31A","made","31A",0.540000000000873,FALSE
"748","There is a worthy message in The Ambassadors of Death but you have to drudge through quite a lot of padding to find it. Judging by David Whitaker's track record I can't help but think the stronger parts of this story are down to Malcolm Hulke's extensive rewrites. There are some good performances by John Abineri as General Carrington, William Dysart as Reegan and Cyril Shaps as Lennox but sadly the story is overburdened by too many unnecessary and over long action/stunt sequences. This is one of the rare times where I would have preferred the structure of the New series of Doctor Who. This would make a great story if it were condensed and speeded up a little. There are parts of The Ambassadors Of Death that are great but overall the story is hit and miss. I think it is fair to say that a large part of that was due to it's rocky conception.","there",2,"is","he","2","will","2","one","2","other","2",0.0299999999988358,FALSE
"749","Today, I am told, is Budget Day, when the preposterous George Osborne is going to tell us how our administration is going to screw us this year. There will be some changes around the margins, and some people might end up being slightly less screwed than they have been, while others will suffer more.","today i am told is budget day when the preposterous george osborne is going to tell us how our administration is going to screw us this year there will be some changes around the margins and some people might end up being slightly less screwed than",47,"they","they","3","than","31B","they","21","others","21",0.5,TRUE
"750","- October 1965 plays sitar for first time on Beatles record (“Norwegian Wood”)","october plays sitar for first time",7,"on","time","41C","on","4","moms","4","time","32B",0.590000000003783,TRUE
"751","It is no surprise that most of you are modernists, not totally throwing away your traditional roots. Many of you don't choose to purchase patterns, which we suspected. You are very creative and improvisational. Then again, many of you are collectors of patterns and books; sometimes one or the other. I can say that since I started designing, I certainly purchase fewer patterns and some books. Part of it is confidence, the other is time (not enough to possibly make it). There is sometimes reward in creating ""what you see is what you get"". In remaking samples, I just follow the pattern and don't have to endure any brain freezes! Patterns are more affordable, especially in these economic times.","it is no surprise that most of you are modernists not totally",13,"throwing","throwing","3","not","32C","crazy","42E","alone","42E",0.529999999998836,TRUE
"752","* How Concerned Women For America and the Family Research Council successfully pressured Congress to limit childhood vaccinations with the life-saving drug Gardasil, because it addressed HPV, a sexually transmitted infection;","how concerned women for",5,"america","america","3","for","31B","women","32C","split","32A",0.349999999998545,TRUE
"753","Although remodeling of your home may not involve major constructions like a new house would need, yet there are four important things you need to know if you are planning home renovations","although remodeling of your home may not involve major constructions like a new house would need yet there are four important things you need to know if you are planning home",32,"renovations","home","31B","of","42F","big","42F","runner","42F",0.44999999999709,FALSE
"754","for the first time.","for the first",4,"time","time","4","couple","4","on","31A","couple","31A",0.280000000006112,TRUE
"755","The shot glasses look like miniature pints of beer with froth foam on top. They actually hold white peach jelly - made from fresh peaches - covered in a layer of mascarpone and rosewater cream. The tiny pearls of strawberry add freshness with baby sorrel leaves providing a little tartness.","the shot",3,"glasses","a","3","up","3","at","3","glasses","3",0.129999999997381,TRUE
"756","- As if the scandals over plagiarism in the KDP program weren't enough, now it appears that there's a major knockoff problem: cobbled-up books titled to resemble bestsellers in hopes of tricking consumers into buying them. I Am The Girl With The Dragon Tattoo, anyone?","as if",3,"the","it","3","was","3","not","3","are","3",0.139999999999418,FALSE
"757","Rolling Panic Affiliated 2 Complete Rolling Panic Affiliated 1 with 100 credibility or more","rolling panic affiliated complete rolling panic affiliated with",9,"credibility","complete","21","releases","21","large","2","rules","2",0.309999999997672,FALSE
"758","I colored her hair with Y21, Skirt with R83, and her shirt with BV13. I lost some of the shadows when I colored the shirt with BV13, so I went back with my gray and darkened those areas again.","i colored her hair with y skirt with r and her shirt with bv i lost some of the shadows when i colored the shirt with bv so",29,"i","i","5","so","51D","went","4","i","41A",0.810000000004948,TRUE
